num_guia;nome_beneficiario;cpf_beneficiario;ans;nome_operadora;descricao_servico;cod_tuss;dt_realizacao;dt_lancamento;vl_servico;vl_glosa;vl_liquido
COB128;RODRIGUES, BRUNO;444.555.666-77;005711;BRADESCO SAUDE;TOMOGRAFIA COMPUTADORIZADA;40914079;2024-11-28;2024-11-29;1200,00;50,00;1150,00
COB161;BARBOSA, ALINE;777.888.999-00;339679;UNIMED;ESPIROMETRIA;40201161;2024-11-28;2024-11-29;260,00;50,00;210,00
COB168;ARAUJO, FELIPE;888.999.000-11;005711;BRADESCO SAUDE;RESSONANCIA MAGNETICA;40915015;2024-11-28;2024-11-30;1800,00;0,00;1800,00
COB181;MELO, VANESSA;999.000.111-22;368253;AMIL;RESSONANCIA MAGNETICA;40915015;2024-11-28;2024-12-01;1800,00;0,00;1800,00
COB028;LIMA, ANA;345.678.901-22;368253;AMIL;EXAME DE SANGUE COMPLETO;40308030;2024-11-29;2024-12-02;180,00;0,00;180,00
COB031;MENDES, CARLOS;456.789.012-33;339679;UNIMED;ULTRASSOM ABDOMINAL;40201020;2024-11-29;2024-12-02;420,00;0,00;420,00
COB048;SILVA, ROBERTO;789.012.345-66;005711;BRADESCO SAUDE;CONSULTA CLINICA GERAL;10101012;2024-11-29;2024-12-02;350,00;0,00;350,00
COB061;RAMOS, PATRICIA;678.901.234-55;368253;AMIL;CONSULTA CLINICA GERAL;10101012;2024-11-29;2024-11-30;350,00;50,00;300,00
COB078;MARTINS, JULIANA;901.234.567-88;339679;UNIMED;ELETROCARDIOGRAMA;40301110;2024-11-29;2024-11-30;130,00;0,00;130,00
COB098;FERREIRA, CAMILA;111.222.333-44;368253;AMIL;TOMOGRAFIA COMPUTADORIZADA;40914079;2024-11-29;2024-11-30;1200,00;0,00;1200,00
COB105;FERREIRA, CAMILA;111.222.333-44;368253;AMIL;ELETROCARDIOGRAMA;40301110;2024-11-29;2024-11-30;130,00;0,00;130,00
COB134;SANTOS, LETICIA;555.666.777-88;368253;AMIL;ELETROCARDIOGRAMA;40301110;2024-11-29;2024-12-02;130,00;0,00;130,00
COB144;GOMES, MARCELO;666.777.888-99;701901;SULAMERICA;ESPIROMETRIA;40201161;2024-11-29;2024-11-30;260,00;12,50;247,50
COB164;ARAUJO, FELIPE;888.999.000-11;005711;BRADESCO SAUDE;ECOCARDIOGRAMA;40304361;2024-11-29;2024-12-01;580,00;12,50;567,50
COB167;ARAUJO, FELIPE;888.999.000-11;005711;BRADESCO SAUDE;ELETROCARDIOGRAMA;40301110;2024-11-29;2024-11-30;130,00;25,00;105,00
COB172;MELO, VANESSA;999.000.111-22;368253;AMIL;RAIO-X TORAX;40901010;2024-11-29;2024-12-02;200,00;0,00;200,00
COB011;SOUZA, JOAO;234.567.890-11;005711;BRADESCO SAUDE;ELETROCARDIOGRAMA;40301110;2024-11-30;2024-12-02;130,00;0,00;130,00
COB022;LIMA, ANA;345.678.901-22;368253;AMIL;RAIO-X TORAX;40901010;2024-11-30;2024-12-03;200,00;25,00;175,00
COB104;FERREIRA, CAMILA;111.222.333-44;368253;AMIL;ENDOSCOPIA DIGESTIVA;40601013;2024-11-30;2024-12-03;750,00;0,00;750,00
COB123;NASCIMENTO, TATIANE;333.444.555-66;339679;UNIMED;EXAME DE SANGUE COMPLETO;40308030;2024-11-30;2024-12-02;180,00;50,00;130,00
COB137;SANTOS, LETICIA;555.666.777-88;368253;AMIL;ECOCARDIOGRAMA;40304361;2024-11-30;2024-12-03;580,00;25,00;555,00
COB141;SANTOS, LETICIA;555.666.777-88;368253;AMIL;ENDOSCOPIA DIGESTIVA;40601013;2024-11-30;2024-12-02;750,00;12,50;737,50
COB187;SOUZA, THIAGO;000.111.222-33;701901;SULAMERICA;ESPIROMETRIA;40201161;2024-11-30;2024-12-02;260,00;12,50;247,50
COB192;SILVA, ROBERTO;789.012.345-66;005711;BRADESCO SAUDE;ENDOSCOPIA DIGESTIVA;40601013;2024-11-22;2024-11-24;750,00;0,00;750,00
COB193;ALMEIDA, RAFAEL;012.345.678-99;005711;BRADESCO SAUDE;RESSONANCIA MAGNETICA;40915015;2024-11-13;2024-11-15;1800,00;0,00;1800,00
COB194;MENDES, CARLOS;456.789.012-33;339679;UNIMED;RAIO-X TORAX;40901010;2024-11-03;2024-11-05;200,00;0,00;200,00
COB195;OLIVEIRA, MARIA;123.456.789-00;339679;UNIMED;ENDOSCOPIA DIGESTIVA;40601013;2024-11-23;2024-11-25;750,00;0,00;750,00
COB196;MELO, VANESSA;999.000.111-22;368253;AMIL;RAIO-X TORAX;40901010;2024-11-04;2024-11-06;200,00;0,00;200,00
COB197;JOSE, OLIVEIRA,;321.654.987-00;999999;CONVENIO DESCONHECIDO;TOMOGRAFIA COMPUTADORIZADA;40914079;2024-11-20;2024-11-22;1187,50;12,50;1175,00
